,부서,보도일,보도자료명,기사내용,URL
0,산림청,2021.05.18,평화와 탄소중립을 위한 ‘숲속의 한반도 만들기’ 맞손,- 기독교대한감리회와 업무협약 체결 - 산림청(청장 최병암)은 기독교대한감리회(감독회장 이철)와 18일 평화와 탄소중립 실현을 위한 숲속의 한반도 만들기 업무협약을 체결하였다. 이날 두 기관은 ▲‘숲속의 한반도 만들기’ 국민캠페인 공동 추진 ▲평화의...,https://www.korea.kr/news/pressReleaseView.do?newsId=156452324&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
1,산림청,2021.05.18,"라바, 세계산림총회 알리는 데 앞장서","라바, 세계산림총회 알리는 데 앞장서- 18일, 세계산림총회 홍보 협력을 위한 산림청-투바앤 업무협약 체결 - 산림청(청장 최병암)은 투바앤과 5월 18일 투바앤 본사에서 세계산림총회의 성공적인 개최를 위한 업무협약을 체결했다. 투바앤은 2003년 설립된...",https://www.korea.kr/news/pressReleaseView.do?newsId=156452322&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
2,산림청,2021.05.18,"집중호우 대비 산사태 대응, 산림청?지방자치단체 간 유기적인 협력체계 강화로 산사태 대비","- 산림청 ? 지방자치단체 간 유기적인 협력체계 강화로 산사태 대비산림청(청장 최병암)은 최근 이상기후로 인한 집중호우 및 장마의 빈발, 장기화나 태풍 내습 증가 등 산사태 발생 위험성이 높아지는 추세에 따라 17일 지방자치단체와 협력체계를 강화하기...",https://www.korea.kr/news/pressReleaseView.do?newsId=156452320&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
3,산림청,2021.05.18,"코로나 시대의 숲, 국민의 마음을 어루만지다.","- 5월 17일, 숲치유를 통한 코로나 우울 극복 국회토론회 열려 - 산림청(청장 최병암)은 더불어민주당 김영진 국회의원과 17일, 서울 여의도 산림비전센터에서 ‘숲치유를 통한 코로나 우울 극복’ 국회토론회를 개최했다. 이번 토론회는 코로나19 장기화에 불안...",https://www.korea.kr/news/pressReleaseView.do?newsId=156452318&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
4,산림청,2021.05.18,학교에서 숲교육? 신청만 하세요~,"- 한국숲사랑청소년단, 숲교육 활동비 지원한다. -산림청(청장 최병암)은 5월 17일부터 5월 25일까지 한국숲사랑청소년단에서 숲교육을 위한 ‘학교별 활동지원’ 신청을 받는다. 산림청에서는「산림교육의 활성화에 관한 법률」제16조에 따라 청소년에게 산...",https://www.korea.kr/news/pressReleaseView.do?newsId=156452316&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
5,산림청,2021.05.18,"한-유럽, 산림 협력의 장 펼쳐- 세계산림총회 성공 개최를 위한 주한 유럽대사 초청 간담회","- 17일, 세계산림총회 성공 개최를 위한 주한 유럽대사 초청 간담회 열려 - 산림청(청장 최병암)은 17일 유럽연합(EU) 등 16개국 유럽 주한대사를 국립수목원으로 초청하여 산림분야 협력을 위한 간담회를 개최했다. 세계산림총회는 6년마다 개최되는 산림...",https://www.korea.kr/news/pressReleaseView.do?newsId=156452314&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
6,환경부,2021.05.18,덴마크와 녹색미래의 길 함께 간다,"▷ 한국-덴마크 환경장관, 2021 서울 녹색미래 정상회의 성공적 개최 논의▷ 양국 장관, 순환경제,유기성폐자원 등 녹색협력 강조한정애 환경부 장관은 5월 18일 오후 한강홍수통제소(서울 서초구 소재)에서 덴마크의 레아 베르멜린(Lea Wermelin) 환경부...",https://www.korea.kr/news/pressReleaseView.do?newsId=156452311&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
7,행정안전부,2021.05.18,"과천청사 방위사업청 직원 코로나19 확진, 신속조치 완료",행정안전부 정부청사관리본부(본부장 조소연)는 5월 18일(화) 정부과천청사 3동 4층에서 근무 중인방위사업청 직원이 코로나19 확진판정을 받았으며 신속하게 긴급 방역 등 조치를 하였다고 밝혔다.자세한 내용은 첨부를 참고하시기 바랍니다. * 담당자 : 정...,https://www.korea.kr/news/pressReleaseView.do?newsId=156452300&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
8,외교부,2021.05.18,"외교부, 이-팔 갈등고조에 따른 재외국민 안전 점검 화상회의 개최",□ 외교부 본부와 해당지역 관할 공관(주이스라엘대사관 및 주팔레스타인대표사무소)은 5.12.(수) 제1차 회의에 이어 5.18.(화) 제2차 “이스라엘-팔레스타인 충돌 관련 재외국민 안전대책 점검 회의”를 화상으로 개최하였다. ※ 회의 참석자 - (본부) 해외안...,https://www.korea.kr/news/pressReleaseView.do?newsId=156452290&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
9,국토교통부,2021.05.18,"[차관동정] 황성규 차관, “K-방역과 신공항 건설, 항공산업 발전 기여”","황성규 국토교통부 제2차관은 5.18(화) 김포공항을 방문하여 K-방역 현황과 신공항 예정지에 대한 항행안전시설 전파환경 등에 대한 비행점검을 마치고, 비행점검 센터, 한국공항공사 등 현장관계자들의 노고에 감사의 뜻을 전했다. 황성규 차관은 한국공항...",https://www.korea.kr/news/pressReleaseView.do?newsId=156452288&pageIndex=1&repCodeType=&repCode=&startDate=2008-02-29&endDate=2021-05-18&srchWord=
